,nome_ies_origem_norm,uf_ies_origem,frequencia
160,universite grenoble alpes,REGION RHONE-ALPES,12
161,universidade estadual paulista julio de mesquita filho botucatu,SÃO PAULO,12
162,pontificia universidade catolica de goias,GOIÁS,12
163,universidad de salamanca,CASTILLA Y LEON,12
164,universidade federal do pampa,RIO GRANDE DO SUL,12
165,universidade federal do oeste do para,PARÁ,12
166,universite sorbonne nouvelle paris iii,REGION ILE-DE-FRANCE,12
167,universidade federal do amapa,AMAPÁ,12
168,fundacao univ federal de ciencias da saude de porto alegre,RIO GRANDE DO SUL,12
169,fundacao universidade federal do tocantins,TOCANTINS,12
170,universidade paulista,SÃO PAULO,11
171,universidade estadual paulista julio de mesquita filho sao jose do rio preto,SÃO PAULO,11
172,universidade catolica de santos,SÃO PAULO,11
173,centro de desenvolvimento da tecnologia nuclear,MINAS GERAIS,11
174,university of texas system,TEXAS,11
175,fundacao oswaldo cruz fiocruz,BAHIA,11
176,universidade estadual do maranhao,MARANHÃO,10
177,universidade estadual paulista julio de mesquita filho araraquara,SÃO PAULO,10
178,universidade estadual de goias,GOIÁS,10
179,fundacao universidade federal do pampa,RIO GRANDE DO SUL,9
180,university of wisconsin system,WISCONSIN,9
181,universidade de mogi das cruzes,SÃO PAULO,9
182,universidade estadual paulista julio de mesquita filho franca,SÃO PAULO,9
183,universidade estadual paulista julio de mesquita filho ilha solteira,SÃO PAULO,9
184,cornell university,NEW YORK,9
185,fundacao instituto capixaba de pesquisas em contabilidade economia e financas,ESPÍRITO SANTO,9
186,universidade do estado do rio grande do norte,RIO GRANDE DO NORTE,9
187,fundacao antonio prudente hospital a c camargo,SÃO PAULO,9
188,centro universitario da fei,SÃO PAULO,8
189,universidade estadual paulista julio de mesquita filho duplicidade com cod 56,SÃO PAULO,8
190,sociedade brasileira de fisiologia,SÃO PAULO,8
191,universidad de sevilla,ANDALUCIA,8
192,universidade franciscana,RIO GRANDE DO SUL,8
193,universidade estadual de montes claros,MINAS GERAIS,8
194,faculdade jesuita de filosofia e teologia,MINAS GERAIS,8
195,universidade da regiao de joinville,SANTA CATARINA,8
196,consejo superior de investigaciones cientificas,COMUNIDAD DE MADRID,7
197,sapienza universitat di roma,REGIONE LAZIO,7
198,universidade vila velha,ESPÍRITO SANTO,7
199,universite de montpellier,REGION LANGUEDOC-ROUSSILLON,7
200,universidade cidade de sao paulo,SÃO PAULO,7
201,universidade anhembi morumbi,SÃO PAULO,7
202,centro universitario una,MINAS GERAIS,7
203,imperial college london,ENGLAND,7
204,faculdade de medicina de sao jose do rio preto,SÃO PAULO,7
205,fundacao oswaldo cruz fiocruz,PERNAMBUCO,7
206,universidad de santiago de compostela,GALICIA,7
207,universidad autonoma de madrid,COMUNIDAD DE MADRID,7
208,universidade nilton lins,AMAZONAS,7
209,escola nacional de ciencias estatisticas,RIO DE JANEIRO,7
210,universidade universus veritas guarulhos,SÃO PAULO,7
211,texas a m university system office,TEXAS,7
212,faculdade de ciencias medicas da santa casa de sao paulo,SÃO PAULO,6
213,instituto de pesquisas energeticas e nucleares,SÃO PAULO,6
214,instituto federal de educacao ciencia e tecnologia da bahia,BAHIA,6
215,instituto de medicina integral professor fernando figueira,PERNAMBUCO,6
216,instituto federal de educacao ciencia e tecnologia do rio grande do norte,RIO GRANDE DO NORTE,6
217,universite paris diderot paris vii,REGION ILE-DE-FRANCE,6
