,nome_ies_destino_norm,pais_ies_destino,frequencia
515,universita degli studi di trieste,ITÁLIA,14
516,el colegio de mexico,MÉXICO,14
517,lawrence berkeley national laboratory,ESTADOS UNIDOS,14
518,georgia state university,ESTADOS UNIDOS,14
519,laboratorio nacional de energia e geologia,PORTUGAL,14
520,university of south carolina,ESTADOS UNIDOS,14
521,mississippi state university,ESTADOS UNIDOS,14
522,instituto politecnico do porto,PORTUGAL,14
523,universite de reims champagne ardenne,FRANÇA,14
524,temple university,ESTADOS UNIDOS,14
525,university of new hampshire,ESTADOS UNIDOS,14
526,university of tasmania,AUSTRÁLIA,14
527,universitat kassel,ALEMANHA,14
528,fundacao universidade federal de mato grosso do sul,BRASIL,14
529,universidad publica de navarra,ESPANHA,14
530,institut national de la recherche scientifique,CANADÁ,14
531,university of mississippi oxford,ESTADOS UNIDOS,14
532,instituto politecnico de leiria,PORTUGAL,13
533,aberystwyth university,REINO UNIDO,13
534,universidade do vale do rio dos sinos,BRASIL,13
535,universidade do estado de santa catarina,BRASIL,13
536,universidade do vale do paraiba,BRASIL,13
537,facultad latinoamericana de ciencias sociales,ARGENTINA,13
538,universidade estadual do ceara,BRASIL,13
539,instituto gulbenkian de ciencia,PORTUGAL,13
540,universite d avignon et des pays de vaucluse,FRANÇA,13
541,george mason university,ESTADOS UNIDOS,13
542,hokkaido university,JAPÃO,13
543,university of otago,NOVA ZELÂNDIA,13
544,massey university,NOVA ZELÂNDIA,13
545,universitat ramon llull,ESPANHA,13
546,university of wollongong,AUSTRÁLIA,13
547,syracuse university,ESTADOS UNIDOS,13
548,institut national des sciences appliquees de toulouse,FRANÇA,13
549,universidade tecnologica federal do parana,BRASIL,13
550,universidad nacional de san luis,ARGENTINA,13
551,virginia commonwealth university,ESTADOS UNIDOS,13
552,universitat ulm,ALEMANHA,13
553,technische universitat dortmund,ALEMANHA,13
554,universidad tecnologica de la habana jose antonio echeverria,CUBA,13
555,universidad nacional de mar del plata,ARGENTINA,13
556,universidad de cantabria,ESPANHA,13
557,university of new england armidale,AUSTRÁLIA,12
558,oklahoma state university stillwater,ESTADOS UNIDOS,12
559,ollscoil chathair bhaile atha cliath,IRLANDA,12
